POS,Name,First Name,Last Name,ORG,HT,WT,B,T,VAL,CTM,CFR,CYear,CEra,CType,ST,CID,Tier,Title,SER,L10,VAR,VLvl,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON_1,PBABIP,HRA,STU vL,MOV vL,CON vL_1,PBABIP vL,HRA vL,STU vR,MOV vR,CON vR_1,PBABIP vR,HRA vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,P,C,1B,2B,3B,SS,LF,CF,RF,P Pot,C Pot,1B Pot,2B Pot,3B Pot,SS Pot,LF Pot,CF Pot,RF Pot,SPE,SR,STE,RUN,G,GS,PA,AB,H,1B_1,2B_1,3B_1,HR,RBI,R,BB,IBB,HP,SH,SF,CI,K,GIDP,RC,OPS,WPA,wRC,wRAA,WAR,PI/PA,SB,CS,BatR,wSB,UBR,BsR,G_1,GS_1,W,L,HLD_1,SD,MD,IP,BF,AB_1,1B_2,2B_2,3B_2,HR_1,TB,R_1,ER,BB_1,IBB_1,K_1,HP_1,SH_1,SF_1,WP,BK,CI_1,DP,GF,IR,IRS,pLi,PI,GB,FB_1,SB_1,CS_1,WPA_1,WAR_1,rWAR,SIERA,POS_1,G_2,GS_2,TC,A,PO,E,DP_1,TP,RNG,ZR,EFF,SBA,RTO,IP_1,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,FRM,ARM
SP,Steve Barber,Steve,Barber,Arlington Parking Lots,6' 0',200 lbs,L,L,69,Baltimore Orioles,BAL,1963,1961-1979,Leg,-,84040,Bronze,All-Time Legend  SP Steve Barber  BAL  Peak,,0,N,0,31,46,44,43,65,6,34,22,32,32,71,3,50,33,49,47,64,7,62,25,Normal,Normal,Normal,69,90,65,87,92,70,81,71,60,92,69,93,64,96,92,-,-,100,78,71,-,-,-,-,-,-,-,3,GB,89-91,3/4,GB'er,59,115,-,-,-,34,13,26,30,6,7,1,57,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,16,5,6,28,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,2,0,0,0,1,1,1,3.1,15,13,0,1,0,2,10,4,4,2,0,5,0,0,0,0,0,0,0,0,1,0,1.57,63,1,4,0,0,0.1,-0.3,-0.3,2.43,1,2,0,0,0,0,0,0,0,0.00,0.0,.000,0,0,3.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SP,Steve Barber,Steve,Barber,Edinburgh Diamond Devils,6' 0',200 lbs,L,L,69,Baltimore Orioles,BAL,1963,1961-1979,Leg,-,84040,Bronze,All-Time Legend  SP Steve Barber  BAL  Peak,,0,N,0,31,46,44,43,65,6,34,22,32,32,71,3,50,33,49,47,64,7,62,25,Normal,Normal,Normal,69,90,65,87,92,70,81,71,60,92,69,93,64,96,92,-,-,100,78,71,-,-,-,-,-,-,-,3,GB,89-91,3/4,GB'er,59,115,-,-,-,34,13,26,30,6,7,1,57,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,16,5,6,28,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,5.2,22,18,2,0,0,1,6,2,2,4,0,3,0,0,0,1,0,0,1,0,2,2,0.80,98,7,5,0,1,-0.1,-0.2,0.1,5.98,1,1,0,3,3,0,0,0,0,4.76,0.4,1.018,1,1,5.2,0,0,0.00,0,0,2,2,0,0,0,0,0,0,0.0,0.0
SP,Aaron Civale,Aaron,Civale,Toledo Swords,6' 2',215 lbs,R,R,67,Athletics,OAK,2026,2026,2026Live,-,82285,Bronze,MLB 2026 Live  SP Aaron Civale  ATH,,0,N,0,25,28,19,26,20,24,28,25,19,26,20,24,28,25,19,26,20,24,36,8,Normal,Normal,Normal,72,74,81,90,66,77,77,84,90,71,68,72,79,89,64,80,73,72,72,-,-,77,-,-,-,-,-,5,EX FB,93-95,OTT,Normal,53,49,-,-,-,25,46,58,27,-,-,-,81,-,57,12,26,-,-,-,-,81,-,57,12,26,-,-,-,-,18,11,18,24,3,3,6,5,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.0,.000,-0.18,0,-1.4,-0.1,4.00,0,0,-1.4,0.0,0.0,0.0,3,3,2,1,0,0,0,14.0,63,54,11,2,1,1,22,5,5,7,0,8,1,0,1,1,0,0,1,0,0,0,0.96,262,8,24,0,0,0.2,0.0,0.4,5.24,1,3,3,1,1,0,0,0,0,0.64,0.1,1.018,0,0,14.0,0,0,0.00,0,0,1,1,0,0,0,0,0,0,0.0,0.0
SP,Josh Collmenter,Josh,Collmenter,Raleigh Keilbasas,6' 3',240 lbs,R,R,66,Arizona Diamondbacks,ARI,2011,2005-2014,RS,-,84259,Bronze,Rookie Sensation  SP Josh Collmenter  ARI  2011,,35,N,0,5,2,1,1,3,1,2,5,1,1,3,2,2,5,2,1,4,1,32,54,Normal,Normal,Normal,51,74,102,102,60,40,69,88,107,51,60,78,118,99,68,-,75,78,-,-,-,55,-,-,-,-,-,3,EX FB,87-89,OTT,Normal,63,76,-,-,-,35,20,26,23,3,3,6,65,-,-,-,-,-,-,-,-,65,-,-,-,-,-,-,-,-,5,4,6,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,2,2,0,2,0,0,0,10.1,47,43,7,4,0,1,19,6,3,3,0,7,0,1,0,0,0,0,0,0,0,0,1.15,200,7,17,0,0,-0.0,0.1,0.0,4.36,1,2,2,2,0,1,1,0,0,0.87,-0.3,.000,0,0,10.1,0,0,0.00,0,0,0,0,0,0,1,0,0,0,0.0,0.0
SP,Bailey Falter,Bailey,Falter,New York Stehms,6' 4',205 lbs,R,L,64,Kansas City Royals,KCR,2026,2026,2026Live,-,82388,Bronze,MLB 2026 Live  SP Bailey Falter  KC,,0,N,0,18,17,20,7,14,19,17,18,20,7,14,19,17,18,20,7,14,19,45,12,Normal,Pull,Pull,60,80,79,89,76,62,83,81,93,78,59,79,79,88,75,73,74,68,66,-,-,-,-,-,-,-,-,4,EX FB,92-94,3/4,Normal,65,57,4,4,4,37,10,50,12,35,25,50,61,-,52,-,-,-,31,-,25,61,-,52,-,-,-,31,-,25,15,11,13,22,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,3,3,1,2,0,0,0,16.0,70,66,11,3,1,2,28,7,7,4,0,10,0,0,0,0,0,0,0,0,0,0,1.08,308,14,24,1,0,0.0,0.1,0.3,4.49,1,3,3,4,1,3,0,0,0,2.25,-0.3,1.018,1,0,16.0,0,0,0.00,1,0,0,0,1,1,0,0,0,0,0.0,0.0
SP,Cliff Fannin,Cliff,Fannin,Toledo Swords,6' 0',170 lbs,L,R,60,St. Louis Browns,BAL,1947,1946-1960,Snap,-,83057,Bronze,Snapshot  SP Cliff Fannin  SLA  1947,,0,N,0,6,3,6,1,5,3,3,5,11,1,5,2,3,6,5,1,6,4,64,28,Normal,Normal,Normal,85,73,54,87,67,76,68,58,84,60,91,78,52,90,73,66,-,83,89,-,-,108,-,-,-,-,-,4,FB,90-92,3/4,Normal,73,89,-,-,-,26,20,23,23,8,10,1,54,-,-,-,-,-,-,-,-,54,-,-,-,-,-,-,-,-,29,3,6,54,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,2,2,1,1,0,0,0,10.2,47,43,7,3,0,0,13,4,2,4,0,10,0,0,0,0,0,0,0,0,0,0,0.91,199,12,10,0,0,0.2,0.4,0.3,3.86,1,2,2,3,0,3,0,0,0,2.53,0.0,.000,0,0,10.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SP,Whitey Ford,Whitey,Ford,Arlington Parking Lots,5' 10',180 lbs,L,L,67,New York Yankees,NYY,1962,1961-1979,Snap,-,83158,Bronze,Snapshot  SP Whitey Ford  NYY  1962,,0,N,0,17,9,53,3,54,24,7,12,56,2,47,14,10,19,53,4,57,28,58,3,Normal,Normal,Normal,66,78,80,86,74,83,77,72,69,81,60,78,83,92,72,50,84,75,81,-,-,-,-,-,-,-,-,4,NEU,87-89,3/4,Normal,81,98,-,-,-,32,27,29,27,7,7,1,69,-,-,-,-,-,-,-,-,69,-,-,-,-,-,-,-,-,41,31,67,33,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,6.0,29,26,6,2,0,0,10,2,2,3,0,5,0,0,0,0,0,0,0,0,1,0,0.41,108,5,6,0,0,0.0,0.1,0.1,4.64,1,2,0,0,0,0,0,0,0,0.00,-0.4,.000,0,0,6.0,0,0,0.00,0,0,0,0,1,0,0,0,0,0,0.0,0.0
SP,Whitey Ford,Whitey,Ford,Tacoma Hilltoppers,5' 10',180 lbs,L,L,67,New York Yankees,NYY,1962,1961-1979,Snap,-,83158,Bronze,Snapshot  SP Whitey Ford  NYY  1962,,0,N,0,17,9,53,3,54,24,7,12,56,2,47,14,10,19,53,4,57,28,58,3,Normal,Normal,Normal,66,78,80,86,74,83,77,72,69,81,60,78,83,92,72,50,84,75,81,-,-,-,-,-,-,-,-,4,NEU,87-89,3/4,Normal,81,98,-,-,-,32,27,29,27,7,7,1,69,-,-,-,-,-,-,-,-,69,-,-,-,-,-,-,-,-,41,31,67,33,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,7.1,28,26,3,1,0,0,5,1,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0.97,106,4,10,0,0,0.2,0.3,0.4,2.28,1,1,1,1,1,0,0,0,0,1.23,0.1,1.018,0,0,7.1,0,0,0.00,0,0,1,1,0,0,0,0,0,0,0.0,0.0
SP,Jon Garland,Jon,Garland,Crystal Beach Sunsets,6' 6',210 lbs,R,R,68,Chicago White Sox,CHW,2005,2005-2014,Leg,-,84032,Bronze,All-Time Legend  SP Jon Garland  CWS  Peak,,0,N,0,37,23,47,47,62,51,34,33,33,33,76,36,19,38,52,52,56,56,32,10,Normal,Spray,Spray,55,76,96,86,71,52,86,90,118,70,57,68,103,60,73,60,70,67,64,65,67,67,-,-,-,-,-,7,NEU,88-90,OTT,Normal,69,57,-,-,-,35,37,38,42,10,8,6,81,-,-,-,-,-,-,-,-,81,-,-,-,-,-,-,-,-,16,5,6,28,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,2,2,1,0,0,0,0,13.0,54,48,11,2,0,1,19,4,4,3,0,8,0,1,2,0,0,0,0,0,0,0,0.97,212,13,16,0,0,0.2,0.2,0.4,4.45,1,2,2,7,5,2,0,0,0,4.85,-0.2,1.018,0,0,13.0,0,0,0.00,4,3,0,0,0,0,0,0,0,0,0.0,0.0
SP,Al Grabowski,Al,Grabowski,Franklin Lakes Nail Biters,6' 0',175 lbs,L,L,69,St. Louis Cardinals,STL,1929,1921-1945,RS,-,84277,Bronze,Rookie Sensation  SP Al Grabowski  STL  1929,,0,N,0,5,2,6,1,3,2,2,5,6,1,3,2,2,5,7,1,3,2,29,54,Normal,Normal,Normal,75,70,81,62,74,71,78,84,63,86,76,66,81,62,69,-,104,71,-,81,-,-,-,-,-,-,-,3,FB,90-92,3/4,Normal,91,82,-,-,-,27,20,23,23,3,4,9,55,-,-,-,-,-,-,-,-,55,-,-,-,-,-,-,-,-,15,5,6,26,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,3.2,19,18,3,4,1,0,14,6,6,0,0,3,1,0,0,1,0,0,1,0,0,0,0.98,78,2,5,0,0,-0.1,0.1,-0.3,3.53,1,1,1,1,1,0,0,0,0,2.45,0.1,1.018,0,0,3.2,0,0,0.00,0,0,0,0,1,1,0,0,0,0,0.0,0.0
