POS,Name,First Name,Last Name,ORG,HT,WT,B,T,VAL,CTM,CFR,CYear,CEra,CType,ST,CID,Tier,Title,SER,L10,VAR,VLvl,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON_1,PBABIP,HRA,STU vL,MOV vL,CON vL_1,PBABIP vL,HRA vL,STU vR,MOV vR,CON vR_1,PBABIP vR,HRA vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,P,C,1B,2B,3B,SS,LF,CF,RF,P Pot,C Pot,1B Pot,2B Pot,3B Pot,SS Pot,LF Pot,CF Pot,RF Pot,SPE,SR,STE,RUN,G,GS,PA,AB,H,1B_1,2B_1,3B_1,HR,RBI,R,BB,IBB,HP,SH,SF,CI,K,GIDP,RC,OPS,WPA,wRC,wRAA,WAR,PI/PA,SB,CS,BatR,wSB,UBR,BsR,G_1,GS_1,W,L,HLD_1,SD,MD,IP,BF,AB_1,1B_2,2B_2,3B_2,HR_1,TB,R_1,ER,BB_1,IBB_1,K_1,HP_1,SH_1,SF_1,WP,BK,CI_1,DP,GF,IR,IRS,pLi,PI,GB,FB_1,SB_1,CS_1,WPA_1,WAR_1,rWAR,SIERA,POS_1,G_2,GS_2,TC,A,PO,E,DP_1,TP,RNG,ZR,EFF,SBA,RTO,IP_1,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,FRM,ARM
SP,Steve Barber,Steve,Barber,Young Cash Register aka Lil Broomstick,6' 0',200 lbs,L,L,69,Baltimore Orioles,BAL,1963,1961-1979,Leg,-,84040,Bronze,All-Time Legend  SP Steve Barber  BAL  Peak,,0,N,0,31,46,44,43,65,6,34,22,32,32,71,3,50,33,49,47,64,7,62,25,Normal,Normal,Normal,69,90,65,87,92,70,81,71,60,92,69,93,64,96,92,-,-,100,78,71,-,-,-,-,-,-,-,3,GB,89-91,3/4,GB'er,59,115,-,-,-,34,13,26,30,6,7,1,57,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,16,5,6,28,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,4.1,21,19,3,3,1,0,12,5,5,2,0,3,0,0,0,0,0,0,1,0,0,0,1.27,82,4,5,0,0,-0.4,0.1,-0.2,4.99,1,1,1,0,0,0,0,0,0,0.00,0.0,.000,0,0,4.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SP,Steve Barber,Steve,Barber,Willard Wackonauts,6' 0',200 lbs,L,L,69,Baltimore Orioles,BAL,1963,1961-1979,Leg,-,84040,Bronze,All-Time Legend  SP Steve Barber  BAL  Peak,,0,N,0,31,46,44,43,65,6,34,22,32,32,71,3,50,33,49,47,64,7,62,25,Normal,Normal,Normal,69,90,65,87,92,70,81,71,60,92,69,93,64,96,92,-,-,100,78,71,-,-,-,-,-,-,-,3,GB,89-91,3/4,GB'er,59,115,-,-,-,34,13,26,30,6,7,1,57,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,16,5,6,28,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,3,3,1,0,0,0,0,18.2,72,68,13,1,0,0,15,2,2,4,0,14,0,0,0,1,0,0,2,0,0,0,1.13,289,18,22,0,0,0.6,0.6,1.1,3.76,1,3,3,3,2,1,0,0,0,1.45,0.2,1.018,0,0,18.2,0,0,0.00,1,1,0,0,1,1,0,0,0,0,0.0,0.0
SP,Steve Barber,Steve,Barber,Lexington Minutemen,6' 0',200 lbs,L,L,69,Baltimore Orioles,BAL,1963,1961-1979,Leg,-,84040,Bronze,All-Time Legend  SP Steve Barber  BAL  Peak,,0,N,0,31,46,44,43,65,6,34,22,32,32,71,3,50,33,49,47,64,7,62,25,Normal,Normal,Normal,69,90,65,87,92,70,81,71,60,92,69,93,64,96,92,-,-,100,78,71,-,-,-,-,-,-,-,3,GB,89-91,3/4,GB'er,59,115,-,-,-,34,13,26,30,6,7,1,57,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,16,5,6,28,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,2,2,0,2,0,0,0,10.1,43,38,5,1,0,2,15,6,6,2,0,6,2,0,1,1,0,0,0,0,0,0,0.90,201,11,14,0,0,-0.2,-0.1,-0.0,4.47,1,2,2,2,1,1,0,0,0,1.74,0.2,1.018,0,0,10.1,0,0,0.00,0,0,2,2,0,0,0,0,0,0,0.0,0.0
SP,Steve Barber,Steve,Barber,Lawrence Wildboyz,6' 0',200 lbs,L,L,69,Baltimore Orioles,BAL,1963,1961-1979,Leg,-,84040,Bronze,All-Time Legend  SP Steve Barber  BAL  Peak,,0,N,0,31,46,44,43,65,6,34,22,32,32,71,3,50,33,49,47,64,7,62,25,Normal,Normal,Normal,69,90,65,87,92,70,81,71,60,92,69,93,64,96,92,-,-,100,78,71,-,-,-,-,-,-,-,3,GB,89-91,3/4,GB'er,59,115,-,-,-,34,13,26,30,6,7,1,57,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,16,5,6,28,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,4.2,25,23,6,2,0,1,14,6,4,2,0,3,0,0,0,1,0,0,1,0,0,0,1.12,99,6,4,0,0,-0.5,-0.1,-0.3,5.09,1,1,1,1,0,1,0,0,0,1.93,0.0,.000,0,0,4.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SP,Steve Barber,Steve,Barber,Sandpoint Sasquatch,6' 0',200 lbs,L,L,69,Baltimore Orioles,BAL,1963,1961-1979,Leg,-,84040,Bronze,All-Time Legend  SP Steve Barber  BAL  Peak,,0,N,0,31,46,44,43,65,6,34,22,32,32,71,3,50,33,49,47,64,7,62,25,Normal,Normal,Normal,69,90,65,87,92,70,81,71,60,92,69,93,64,96,92,-,-,100,78,71,-,-,-,-,-,-,-,3,GB,89-91,3/4,GB'er,59,115,-,-,-,34,13,26,30,6,7,1,57,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,16,5,6,28,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,8.0,29,28,3,2,0,0,7,0,0,1,0,8,0,0,0,0,0,0,1,0,0,0,0.65,110,9,6,0,0,0.3,0.4,0.7,2.59,1,1,1,1,0,1,0,0,0,1.12,0.0,.000,0,0,8.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SP,Chris Bosio,Chris,Bosio,Carleton Place Moon Mammoths,6' 3',225 lbs,R,R,68,Seattle Mariners,SEA,1993,1993-2004,Snap,-,83166,Bronze,Snapshot  SP Chris Bosio  SEA  1993,,0,Y,1,5,1,4,1,4,1,1,5,4,1,4,1,1,5,4,1,4,1,28,9,Normal,Spray,Spray,80,80,67,98,72,69,75,58,92,67,88,85,74,103,77,50,83,-,84,71,112,-,-,-,-,-,-,5,NEU,88-90,3/4,Normal,71,84,-,-,-,28,29,33,44,7,4,8,71,-,-,-,-,-,-,-,-,71,-,-,-,-,-,-,-,-,5,5,6,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,7.1,28,27,5,2,0,0,9,1,1,0,0,7,0,0,1,0,0,0,1,0,0,0,0.88,106,7,7,0,0,0.2,0.4,0.4,2.38,1,1,1,0,0,0,0,0,0,0.00,-0.3,.000,0,0,7.1,0,0,0.00,1,0,0,0,0,0,0,0,0,0,0.0,0.0
SP,Josh Collmenter,Josh,Collmenter,Raleigh Keilbasas,6' 3',240 lbs,R,R,66,Arizona Diamondbacks,ARI,2011,2005-2014,RS,-,84259,Bronze,Rookie Sensation  SP Josh Collmenter  ARI  2011,,35,N,0,5,2,1,1,3,1,2,5,1,1,3,2,2,5,2,1,4,1,32,54,Normal,Normal,Normal,51,74,102,102,60,40,69,88,107,51,60,78,118,99,68,-,75,78,-,-,-,55,-,-,-,-,-,3,EX FB,87-89,OTT,Normal,63,76,-,-,-,35,20,26,23,3,3,6,65,-,-,-,-,-,-,-,-,65,-,-,-,-,-,-,-,-,5,4,6,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,5.2,25,22,3,2,0,1,11,4,4,2,0,4,0,0,1,0,0,0,0,0,0,0,0.59,104,5,8,0,0,-0.2,-0.0,-0.1,4.52,1,1,1,3,1,2,0,0,0,4.76,0.0,1.018,0,0,5.2,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0.0,0.0
SP,Larry Corcoran,Larry,Corcoran,Young Cash Register aka Lil Broomstick,5' 3',130 lbs,S,R,68,Chicago White Stockings,CHC,1880,2026,RS,-,84269,Bronze,Rookie Sensation  SP Larry Corcoran  CHC  1880,,0,N,0,67,53,69,13,72,80,55,69,71,14,75,83,53,67,69,13,72,80,8,18,Normal,Normal,Normal,99,78,47,85,75,102,80,48,89,76,98,77,47,82,75,76,127,101,-,-,-,-,-,-,-,-,-,3,NEU,90-92,3/4,Normal,98,60,-,-,-,29,27,38,31,77,58,63,69,-,-,-,-,-,-,66,79,69,-,-,-,-,-,-,66,79,57,93,85,67,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,3,0,0,0,0,1,0,6.0,20,19,2,1,0,0,4,0,0,1,0,6,0,0,0,0,0,0,0,2,5,2,0.47,78,2,8,0,0,0.1,0.2,0.3,1.43,1,3,0,2,2,0,0,0,0,3.00,0.1,1.018,0,0,6.0,0,0,0.00,0,0,1,1,0,0,0,0,0,0,0.0,0.0
SP,Ray Fisher,Ray,Fisher,Hudson Railers,6' 0',180 lbs,R,R,65,New York Highlanders,NYY,1911,2026,Snap,-,83144,Bronze,Snapshot  SP Ray Fisher  NYY  1911,,0,N,0,13,7,51,33,29,17,6,15,66,21,36,22,8,13,44,36,25,16,73,5,Normal,Spray,Spray,84,65,73,63,67,83,63,73,54,68,84,68,74,71,67,79,115,-,-,-,-,-,-,-,72,-,-,3,NEU,88-90,3/4,Normal,68,49,-,-,-,35,25,27,20,8,8,4,70,-,-,-,-,-,-,-,-,70,-,-,-,-,-,-,-,-,62,68,75,53,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.00,0,-0.0,0.0,0.00,0,0,-0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,1.1,8,8,3,1,0,0,5,4,4,0,0,3,0,0,0,0,0,0,0,1,1,0,0.14,40,1,0,2,0,-0.0,0.1,-0.3,1.20,1,1,0,1,0,1,0,0,0,6.75,-0.4,.000,2,0,1.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SP,Jack Harshman,Jack,Harshman,Atlanta Braves,6' 2',185 lbs,L,L,69,Chicago White Sox,CHW,1954,1946-1960,Snap,-,83192,Bronze,Snapshot  SP Jack Harshman  CWS  1954,,0,N,0,22,19,38,117,118,26,11,16,10,14,106,21,22,25,44,150,123,28,56,56,Flyball,Spray,Spray,99,95,50,68,109,112,93,73,40,120,96,94,37,78,102,77,140,69,89,-,-,-,-,-,-,-,-,4,EX FB,89-91,OTT,Normal,70,68,-,-,-,34,27,28,23,5,10,4,71,-,54,-,-,-,-,-,-,71,-,54,-,-,-,-,-,-,5,5,6,5,1,1,4,3,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.6,.833,0.00,0,0.3,0.0,4.50,0,0,0.3,0.0,0.0,0.0,1,1,0,1,0,0,0,5.1,25,18,5,0,0,0,5,2,2,4,0,6,1,1,1,0,0,0,1,0,0,0,1.33,104,5,4,0,0,-0.0,0.1,0.1,4.34,1,1,1,0,0,0,0,0,0,0.00,0.0,.000,0,0,5.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0
